----------------------------------------------------------------------------------
Updated at :2020-10-08 13:30:41.269914
Countries Today:
countryRank    countryName    totalCases    newCases    totalDeaths    newDeaths    totalRecovered    newRecovered    activeCases    seriousCritical    totCases1Mpop    deaths1Mpop    totalTests    tests1Mpop    population
16    Bangladesh    374,592    +1,441    5,460    +20    288,316    +1,685    80,816    None    2,268    33    2,039,413    12,350    165,129,131   
17    Saudi Arabia    337,711    None    4,947    None    323,208    None    9,556    913    9,661    142    6,828,117    195,324    34,957,825   
18    Italy    333,940    None    36,061    None    235,303    None    62,576    337    5,525    597    12,069,402    199,700    60,437,566   
19    Philippines    331,869    +2,363    6,069    +144    274,318    +697    51,482    1,758    3,018    55    3,979,197    36,184    109,969,812   
20    Turkey    329,138    None    8,609    None    288,954    None    31,575    1,411    3,891    102    11,160,946    131,954    84,581,980   
21    Indonesia    320,564    +4,850    11,580    +108    244,060    +3,769    64,924    None    1,169    42    3,595,719    13,109    274,298,026   
22    Pakistan    316,934    +583    6,544    +9    302,375    +1,087    8,015    497    1,427    29    3,761,389    16,941    222,023,626   
23    Germany    311,113    None    9,652    None    267,700    None    33,761    470    3,710    115    18,129,900    216,201    83,856,524   
24    Israel    283,532    +2,051    1,846    +22    220,046    +3,433    61,640    878    30,827    201    3,878,250    421,659    9,197,590   
25    Ukraine    244,734    +5,397    4,690    +93    108,233    +2,263    131,811    177    5,605    107    2,455,407    56,237    43,661,584   
26    Canada    173,123    None    9,541    None    145,666    None    17,916    143    4,576    252    7,825,602    206,857    37,831,018   
27    Netherlands    149,988    None    6,518    None    N/A    N/A    N/A    231    8,748    380    2,656,731    154,955    17,145,159   
28    Romania    145,700    +3,130    5,247    +44    113,112    +1,548    27,341    607    7,588    273    2,598,262    135,309    19,202,403   
29    Ecuador    143,531    None    11,743    None    120,511    None    11,277    354    8,103    663    455,122    25,692    17,714,234   
30    Morocco    140,024    None    2,439    None    118,142    None    19,443    424    3,782    66    2,778,365    75,035    37,027,450   
31    Belgium    137,868    +3,577    10,108    +16    19,895    +83    107,865    201    11,882    871    3,490,833    300,849    11,603,264   
32    Bolivia    137,706    +238    8,192    +36    99,268    +726    30,246    71    11,754    699    310,905    26,538    11,715,437   
33    Qatar    127,181    None    218    None    124,108    None    2,855    55    45,296    78    810,027    288,491    2,807,805   
34    Panama    117,300    None    2,448    None    93,610    None    21,242    120    27,073    565    520,582    120,149    4,332,796   
35    Dominican Republic    116,148    None    2,159    None    92,157    None    21,832    190    10,678    198    502,680    46,215    10,877,062   
36    Poland    111,599    +4,280    2,867    +76    76,490    +1,144    32,242    296    2,950    76    3,577,810    94,563    37,835,307   
37    Kuwait    108,743    None    639    None    100,776    None    7,328    127    25,364    149    768,691    179,292    4,287,362   
38    Kazakhstan    108,454    +92    1,746    None    103,604    +139    3,104    221    5,758    93    3,045,439    161,676    18,836,704   
39    Oman    104,129    +664    1,009    +9    91,731    +402    11,389    214    20,257    196    376,700    73,281    5,140,517   
40    Egypt    104,035    None    6,010    None    97,492    None    533    41    1,012    58    135,000    1,313    102,843,979   
41    UAE    102,929    +1,089    438    +2    93,479    +1,769    9,012    None    10,373    44    10,550,053    1,063,265    9,922,317   
42    Nepal    98,617    +4,364    590    +12    71,343    +2,675    26,684    None    3,369    20    1,131,958    38,666    29,275,375   
43    Sweden    96,677    None    5,892    None    N/A    N/A    N/A    23    9,557    582    1,661,484    164,239    10,116,245   
44    Guatemala    95,704    None    3,335    None    84,036    None    8,333    5    5,316    185    347,374    19,295    18,003,118   
45    Czechia    95,360    None    829    None    50,767    None    43,764    354    8,900    77    1,494,776    139,511    10,714,375   
46    Japan    86,543    None    1,605    None    79,676    None    5,262    141    685    13    2,218,653    17,557    126,370,560   
47    Costa Rica    83,497    None    1,024    None    50,295    None    32,178    203    16,351    201    245,115    48,000    5,106,602   
48    Belarus    81,505    None    874    None    75,683    None    4,948    None    8,626    93    1,976,828    209,222    9,448,476   
49    Portugal    81,256    None    2,040    None    51,037    None    28,179    104    7,975    200    2,736,321    268,567    10,188,579   
50    Honduras    81,016    +354    2,466    +19    30,590    +459    47,960    30    8,145    248    190,387    19,141    9,946,409   
51    Ethiopia    80,895    None    1,255    None    35,670    None    43,970    245    699    11    1,321,164    11,418    115,707,583   
52    Venezuela    80,404    None    671    None    71,531    None    8,202    198    2,830    24    1,969,847    69,327    28,413,910   
53    Bahrain    73,932    None    262    None    69,411    None    4,259    69    43,065    153    1,509,071    879,030    1,716,745   
54    Uzbekistan    59,905    +326    494    +3    56,568    +403    2,843    252    1,783    15    1,377,915    41,012    33,598,229   
55    Nigeria    59,738    None    1,113    None    51,403    None    7,222    7    288    5    543,415    2,619    207,474,408   
56    Switzerland    58,881    +1,172    2,084    +2    47,300    None    9,497    30    6,790    240    1,455,665    167,865    8,671,658   
57    Moldova    58,794    None    1,406    None    42,480    None    14,908    755    14,584    349    302,666    75,077    4,031,401   
58    Singapore    57,849    +9    27    None    57,624    None    198    1    9,867    5    3,072,368    524,052    5,862,716   
59    Armenia    54,473    +718    1,004    +9    45,312    +202    8,157    None    18,374    339    316,479    106,747    2,964,747   
60    Algeria    52,520    None    1,771    None    36,857    None    13,892    25    1,192    40    None    None    44,060,390   
61    Austria    52,057    +1,209    838    +8    41,289    +790    9,930    107    5,771    93    1,756,856    194,768    9,020,266   
62    Lebanon    48,377    None    433    None    21,120    None    26,824    167    7,096    64    927,346    136,033    6,817,067   
63    Kyrgyzstan    48,342    +245    1,073    +4    43,957    +159    3,312    24    7,377    164    276,522    42,200    6,552,729   
64    Ghana    46,829    None    303    None    46,060    None    466    4    1,499    10    488,427    15,633    31,243,580   
65    Paraguay    46,435    None    989    None    29,270    None    16,176    151    6,489    138    296,536    41,439    7,155,930   
66    Palestine    42,840    None    355    None    35,953    None    6,532    None    8,347    69    441,785    86,076    5,132,482   
67    Azerbaijan    41,113    None    602    None    38,858    None    1,653    None    4,045    59    1,150,658    113,212    10,163,709   
68    Libya    40,292    +779    616    +8    23,130    +299    16,546    None    5,843    89    234,225    33,964    6,896,184   
69    Kenya    39,907    None    748    None    31,659    None    7,500    None    738    14    565,336    10,453    54,082,266   
70    Afghanistan    39,616    +68    1,470    +1    33,058    +13    5,088    93    1,012    38    113,392    2,896    39,158,322   
71    Ireland    39,584    None    1,816    None    23,364    None    14,404    25    7,993    367    1,271,317    256,700    4,952,539   
72    Serbia    34,193    None    758    None    31,536    None    1,899    20    3,918    87    1,173,582    134,466    8,727,731   
73    Hungary    34,046    +932    898    +21    9,187    +38    23,961    56    3,527    93    792,485    82,092    9,653,647   
74    Denmark    30,710    None    663    None    24,240    None    5,807    15    5,297    114    4,166,217    718,595    5,797,725   
75    El Salvador    29,737    None    877    +4    24,643    None    4,217    32    4,578    135    413,036    63,592    6,495,046   
76    Bosnia and Herzegovina    29,075    None    908    None    22,614    None    5,553    None    8,877    277    253,264    77,328    3,275,211   
77    Australia    27,204    +22    897    None    24,939    +2    1,368    3    1,064    35    7,887,217    308,348    25,578,966   
78    Tunisia    24,542    None    364    None    5,032    None    19,146    124    2,071    31    256,667    21,656    11,851,736   
79    S. Korea    24,422    +69    427    +2    22,463    +129    1,532    97    476    8    2,388,844    46,583    51,281,182   
80    Bulgaria    22,743    None    873    None    15,448    None    6,422    53    3,280    126    556,761    80,294    6,934,044   
81    Myanmar    21,433    None    510    None    6,084    None    14,839    None    393    9    355,271    6,518    54,508,077   
82    Greece    20,947    None    424    None    9,989    None    10,534    88    2,012    41    1,379,036    132,484    10,409,091   
83    Cameroon    20,924    None    420    None    19,764    None    740    30    783    16    149,000    5,577    26,718,466   
84    Jordan    20,200    None    131    None    5,575    None    14,494    48    1,975    13    1,351,112    132,070    10,230,283   
85    Ivory Coast    19,935    None    120    None    19,550    None    265    None    751    5    168,309    6,340    26,548,935   
86    North Macedonia    19,413    None    772    None    15,749    None    2,892    3    9,318    371    199,372    95,698    2,083,351   
87    Croatia    18,989    +542    310    +1    16,473    +165    2,206    27    4,633    76    344,533    84,067    4,098,311   
88    Madagascar    16,654    +21    235    None    15,910    +102    509    20    597    8    74,020    2,655    27,876,693   
89    Slovakia    15,726    +1,037    57    +2    5,353    +153    10,316    42    2,880    10    518,231    94,908    5,460,361   
90    Zambia    15,224    None    335    None    14,342    None    547    None    822    18    172,435    9,312    18,517,682   
91    Senegal    15,174    None    313    None    12,998    None    1,863    4    900    19    184,934    10,970    16,858,879   
92    Norway    15,013    None    275    None    11,863    None    2,875    3    2,763    51    1,119,418    206,054    5,432,642   
93    Albania    14,730    None    407    None    9,115    None    5,208    23    5,120    141    90,441    31,437    2,876,940   
94    Malaysia    14,368    +375    146    +5    10,519    +18    3,703    60    442    4    1,627,612    50,116    32,476,618   
95    Sudan    13,668    None    836    None    6,764    None    6,068    None    310    19    None    None    44,117,428   
96    Montenegro    12,794    None    190    None    8,907    None    3,697    20    20,370    303    73,768    117,449    628,088   
97    Namibia    11,714    None    126    None    9,673    None    1,915    7    4,588    49    105,386    41,278    2,553,069   
98    Finland    11,345    +296    346    None    8,500    None    2,499    5    2,047    62    1,122,200    202,451    5,543,058   
99    Guinea    10,863    None    68    None    10,176    None    619    24    821    5    33,676    2,546    13,225,468   
100    DRC    10,804    None    276    None    10,239    None    289    None    120    3    None    None    90,265,509   
101    Maldives    10,656    None    34    None    9,547    None    1,075    12    19,622    63    150,743    277,579    543,063   
102    Georgia    10,225    +472    66    +3    5,553    +318    4,606    None    2,565    17    706,806    177,274    3,987,076   
103    French Guiana    10,103    None    69    None    9,773    None    261    6    33,598    229    68,644    228,281    300,700   
104    Tajikistan    10,055    None    78    None    8,876    None    1,101    None    1,048    8    None    None    9,593,845   
105    Mozambique    9,494    None    68    None    6,812    None    2,614    None    302    2    148,538    4,718    31,482,874   
106    Uganda    9,442    +182    85    None    5,781    +193    3,576    None    205    2    501,040    10,865    46,113,737   
107    Luxembourg    9,119    None    128    None    7,900    None    1,091    2    14,505    204    869,412    1,382,919    628,679   
108    Haiti    8,838    None    229    None    7,013    None    1,596    None    773    20    29,115    2,545    11,439,646   
109    Gabon    8,815    None    54    None    8,164    None    597    3    3,936    24    192,123    85,789    2,239,484   
110    Zimbabwe    7,919    None    229    None    6,441    None    1,249    None    531    15    160,921    10,785    14,920,470   
111    Mauritania    7,535    None    162    None    7,212    None    161    3    1,610    35    81,325    17,372    4,681,502   
112    Slovenia    7,507    +387    160    +1    4,655    +120    2,692    21    3,611    77    247,707    119,146    2,079,016   
113    Jamaica    7,191    None    126    None    2,700    None    4,365    12    2,426    43    82,411    27,798    2,964,662   
114    Cabo Verde    6,624    None    71    None    5,684    None    869    None    11,879    127    87,076    156,161    557,603   
115    Guadeloupe    6,319    None    77    None    2,199    None    4,043    35    15,792    192    59,202    147,952    400,143   
116    Cuba    5,898    None    123    None    5,321    None    454    2    521    11    663,612    58,598    11,324,732   
117    Malawi    5,803    None    180    None    4,575    None    1,048    4    301    9    54,727    2,842    19,258,853   
118    Angola    5,725    None    211    None    2,598    None    2,916    16    173    6    85,213    2,572    33,130,301   
119    Lithuania    5,625    +142    102    +1    2,660    +60    2,863    None    2,074    38    815,260    300,641    2,711,736   
120    Eswatini    5,617    None    113    None    5,196    None    308    11    4,828    97    45,325    38,960    1,163,381   
121    Djibouti    5,423    None    61    None    5,353    None    9    None    5,468    62    78,860    79,510    991,821   
122    Nicaragua    5,264    None    153    None    4,225    None    886    None    792    23    None    None    6,645,610   
123    Hong Kong    5,162    +18    105    None    4,890    +5    167    10    687    14    3,311,279    440,720    7,513,332   
124    Congo    5,089    None    89    None    3,887    None    1,113    None    916    16    None    None    5,553,583   
125    Equatorial Guinea    5,052    None    83    None    4,894    None    75    2    3,571    59    61,836    43,705    1,414,850   
126    Suriname    4,979    None    106    None    4,781    None    92    3    8,467    180    15,019    25,541    588,043   
127    Trinidad and Tobago    4,887    None    84    None    3,010    None    1,793    14    3,489    60    33,013    23,569    1,400,716   
128    Rwanda    4,883    None    29    None    3,408    None    1,446    None    375    2    511,183    39,213    13,036,099   
129    CAR    4,852    None    62    None    1,914    None    2,876    2    1,000    13    32,596    6,718    4,851,994   
130    Bahamas    4,713    +81    102    None    2,607    +70    2,004    96    11,954    259    23,039    58,437    394,252   
131    Syria    4,504    None    212    None    1,198    None    3,094    None    256    12    None    None    17,611,826   
132    Sri Lanka    4,459    None    13    None    3,274    None    1,172    None    208    0.6    303,381    14,152    21,437,536   
133    Réunion    4,385    None    16    None    3,360    None    1,009    17    4,888    18    35,419    39,485    897,032   
134    Aruba    4,133    None    31    None    3,678    None    424    12    38,666    290    33,519    313,587    106,889   
135    Mayotte    3,892    None    42    None    2,964    None    886    2    14,177    153    13,000    47,352    274,537   
136    Estonia    3,760    +45    67    None    2,824    +11    869    3    2,834    50    227,918    171,783    1,326,778   
137    Somalia    3,745    None    99    None    3,010    None    636    None    234    6    None    None    16,008,413   
138    Thailand    3,622    +7    59    None    3,439    +48    124    1    52    0.8    749,213    10,726    69,847,481   
139    Gambia    3,613    None    117    None    2,235    None    1,261    None    1,484    48    17,728    7,283    2,434,300   
140    Malta    3,506    +64    41    None    2,884    +19    581    None    7,935    93    272,579    616,887    441,862   
141    Guyana    3,292    None    95    None    2,084    None    1,113    15    4,180    121    15,360    19,503    787,578   
142    Mali    3,210    None    131    None    2,502    None    577    None    157    6    57,365    2,812    20,402,112   
143    Botswana    3,172    None    18    None    834    None    2,320    1    1,342    8    222,045    93,922    2,364,134   
144    Iceland    3,172    None    10    None    2,366    None    796    4    9,279    29    294,930    862,772    341,840   
145    South Sudan    2,748    None    50    None    1,290    None    1,408    None    245    4    12,044    1,073    11,228,796   
146    Andorra    2,568    None    53    None    1,715    None    800    9    33,222    686    137,457    1,778,251    77,299   
147    Benin    2,411    None    41    None    1,973    None    397    None    198    3    203,831    16,699    12,205,949   
148    Guinea-Bissau    2,385    None    40    None    1,728    None    617    5    1,204    20    None    None    1,980,178   
149    Latvia    2,370    +109    40    None    1,322    None    1,008    4    1,260    21    349,237    185,722    1,880,428   
150    French Polynesia    2,358    None    10    None    1,857    None    491    7    8,381    36    26,355    93,675    281,346   
151    Belize    2,310    +67    34    None    1,427    +35    849    5    5,782    85    16,552    41,428    399,536   
152    Sierra Leone    2,287    None    72    None    1,716    None    499    None    285    9    None    None    8,019,700   
153    Burkina Faso    2,222    None    59    None    1,478    None    685    None    106    3    None    None    21,052,309   
154    Uruguay    2,206    None    49    None    1,890    None    267    1    634    14    254,180    73,103    3,476,990   
155    Yemen    2,049    None    593    None    1,328    None    128    None    68    20    None    None    29,998,431   
156    Togo    1,898    None    49    None    1,419    None    430    None    228    6    97,635    11,722    8,329,538   
157    Cyprus    1,897    None    24    None    1,369    None    504    1    1,568    20    400,197    330,817    1,209,725   
158    New Zealand    1,864    +3    25    None    1,800    +1    39    1    373    5    990,973    198,111    5,002,100   
159    Martinique    1,851    None    22    None    98    None    1,731    14    4,934    59    39,379    104,959    375,186   
160    Lesotho    1,767    None    40    None    926    None    801    None    823    19    19,952    9,294    2,146,816   
161    Liberia    1,355    None    82    None    1,245    None    28    2    266    16    29,904    5,876    5,088,809   
162    Chad    1,251    None    89    None    1,090    None    72    None    76    5    None    None    16,548,133   
163    Niger    1,200    None    69    None    1,122    None    9    None    49    3    26,937    1,103    24,430,774   
164    Vietnam    1,099    None    35    None    1,023    None    41    None    11    0.4    1,009,145    10,342    97,573,680   
165    Sao Tome and Principe    914    None    15    None    888    None    11    None    4,150    68    5,212    23,666    220,234   
166    San Marino    732    None    42    None    680    None    10    3    21,561    1,237    7,755    228,424    33,950   
167    Diamond Princess    712    None    13    None    651    None    48    4    None    None    None    None       
168    Channel Islands    698    None    48    None    600    None    50    2    4,005    275    123,884    710,780    174,293   
169    Sint Maarten    698    +9    22    None    592    None    84    6    16,230    512    4,650    108,124    43,006   
170    Turks and Caicos    695    None    6    None    656    None    33    4    17,886    154    3,504    90,177    38,857   
171    Papua New Guinea    541    None    7    None    527    None    7    None    60    0.8    25,955    2,887    8,991,763   
172    Taiwan    524    +1    7    None    485    None    32    None    22    0.3    94,734    3,976    23,828,479   
173    Burundi    515    None    1    None    472    None    42    None    43    0.08    37,522    3,131    11,982,467   
174    Tanzania    509    None    21    None    183    None    305    7    8    0.3    None    None    60,175,755   
175    Curaçao    505    None    1    None    270    None    234    2    3,074    6    8,597    52,333    164,275   
176    Comoros    491    None    7    None    468    None    16    None    561    8    None    None    874,471   
177    Faeroe Islands    476    None        None    452    None    24    None    9,732    None    135,890    2,778,198    48,913   
178    Gibraltar    452    +7        None    386    +10    66    None    13,417    None    51,176    1,519,117    33,688   
179    Saint Martin    412    None    8    None    309    None    95    11    10,607    206    5,170    133,107    38,841   
180    Eritrea    398    None        None    358    None    40    None    112    None    None    None    3,559,491   
181    Mauritius    395    None    10    None    358    None    27    None    310    8    253,248    199,041    1,272,341   
182    Isle of Man    345    None    24    None    316    None    5    None    4,051    282    13,920    163,467    85,155   
183    Mongolia    315    None        None    308    None    7    1    96    None    75,304    22,873    3,292,294   
184    Bhutan    304    +4        None    252    +2    52    None    393    None    146,386    189,158    773,881   
185    Cambodia    281    +1        None    276    None    5    None    17    None    148,120    8,827    16,780,580   
186    Monaco    227    None    2    None    202    None    23    1    5,774    51    51,953    1,321,388    39,317   
187    Cayman Islands    213    None    1    None    210    None    2    None    3,231    15    40,223    610,105    65,928   
188    Barbados    203    None    7    None    182    None    14    None    706    24    25,393    88,332    287,471   
189    Bermuda    181    None    9    None    170    None    2    None    2,909    145    67,860    1,090,734    62,215   
190    Seychelles    148    None        None    143    None    5    None    1,502    None    5,200    52,786    98,511   
191    Brunei    146    None    3    None    143    None    0    None    333    7    60,615    138,200    438,602   
192    Caribbean Netherlands    141    None    2    None    67    None    72    None    5,364    76    2,796    106,360    26,288   
193    Liechtenstein    135    +4    1    None    117    +1    17    None    3,538    26    900    23,586    38,158   
194    Antigua and Barbuda    108    None    3    None    97    None    8    None    1,100    31    2,979    30,352    98,147   
195    British Virgin Islands    71    None    1    None    69    None    1    None    2,344    33    5,161    170,414    30,285   
196    St. Vincent Grenadines    64    None        None    64    None    0    None    576    None    5,386    48,507    111,035   
197    St. Barth    62    None        None    37    None    25    None    6,272    None    2,668    269,904    9,885   
198    Macao    46    None        None    46    None    0    None    71    None    4,238    6,503    651,693   
199    Fiji    32    None    2    None    28    None    2    1    36    2    11,034    12,285    898,194   
200    Dominica    31    None        None    24    None    7    None    430    None    2,612    36,261    72,034   
201    Saint Lucia    28    +1        None    27    None    1    None    152    None    8,591    46,727    183,854   
202    Timor-Leste    28    None        None    28    None    0    None    21    None    8,073    6,092    1,325,073   
203    New Caledonia    27    None        None    27    None    0    None    94    None    14,585    50,955    286,234   
204    Grenada    24    None        None    24    None    0    None    213    None    6,252    55,492    112,664   
205    Laos    23    None        None    22    None    1    None    3    None    56,546    7,742    7,303,642   
206    Saint Kitts and Nevis    19    None        None    17    None    2    None    356    None    2,455    46,060    53,300   
207    Saint Pierre Miquelon    16    None        None    6    None    10    None    2,765    None    1,967    339,959    5,786   
208    Greenland    15    None        None    14    None    1    None    264    None    8,748    154,022    56,797   
209    Montserrat    13    None    1    None    12    None    0    None    2,604    200    483    96,735    4,993   
210    Falkland Islands    13    None        None    13    None    0    None    3,708    None    2,261    644,894    3,506   
211    Vatican City    12    None        None    12    None    0    None    14,963    None    None    None    802   
212    Western Sahara    10    None    1    None    8    None    1    None    17    2    None    None    601,177   
213    MS Zaandam    9    None    2    None    None    None    7    None    None    None    None    None       
214    Anguilla    3    None        None    3    None    0    None    199    None    1,020    67,824    15,039   
215    Solomon Islands    1    None        None    None    None    1    None    1    None    None    None    691,287   
216    China    85,500    +11    4,634    None    80,666    +16    200    2    59    3    160,000,000    111,163    1,439,323,776   

Countries Yesterday:
countryRank    countryName    totalCases    newCases    totalDeaths    newDeaths    totalRecovered    newRecovered    activeCases    seriousCritical    totCases1Mpop    deaths1Mpop    totalTests    tests1Mpop    population
1    China    85,489    +7    4,634    None    80,650    +15    205    2    59    3    160,000,000    111,163    1,439,323,776   
2    USA    7,776,224    +48,715    216,784    +932    4,983,380    +47,835    2,576,060    14,571    23,456    654    114,158,849    344,343    331,526,317   
3    India    6,832,988    +78,809    105,554    +963    5,824,462    +83,209    902,972    8,944    4,938    76    82,271,654    59,460    1,383,641,495   
4    Brazil    5,002,357    +31,404    148,304    +733    4,391,424    +38,553    462,629    8,318    23,489    696    17,900,000    84,051    212,966,256   
5    Russia    1,248,619    +11,115    21,865    +202    995,275    +6,699    231,479    2,300    8,555    150    48,700,000    333,673    145,951,488   
6    Colombia    877,683    +7,875    27,180    +163    773,973    +3,161    76,530    2,220    17,200    533    4,005,437    78,495    51,028,081   
7    Spain    872,276    +6,645    32,562    +76    N/A    N/A    N/A    1,568    18,654    696    13,689,776    292,769    46,759,706   
8    Argentina    840,915    +16,447    22,226    +399    670,725    +10,453    147,964    3,997    18,560    491    2,140,435    47,243    45,307,070   
9    Peru    835,662    +2,733    33,009    +95    723,606    +5,541    79,047    1,247    25,251    997    3,988,070    120,507    33,094,144   
10    Mexico    794,608    +4,828    82,348    +471    557,478    +3,541    154,782    2,417    6,146    637    2,021,255    15,633    129,295,487   
11    South Africa    685,155    +1,913    17,248    +145    618,127    +1,270    49,780    539    11,514    290    4,318,514    72,570    59,508,227   
12    France    653,509    +18,746    32,445    +80    99,793    +498    521,271    1,416    10,006    497    11,723,039    179,491    65,312,702   
13    UK    544,275    +14,162    42,515    +70    N/A    N/A    N/A    410    8,006    625    26,417,989    388,601    67,982,314   
14    Iran    483,844    +4,019    27,658    +239    397,109    +2,309    59,077    4,274    5,741    328    4,207,631    49,925    84,279,733   
15    Chile    474,440    +1,134    13,090    +20    447,053    +1,635    14,297    818    24,762    683    3,548,773    185,215    19,160,279   
16    Iraq    391,044    +3,923    9,604    +73    319,784    +3,413    61,656    506    9,665    237    2,419,252    59,795    40,459,293   
17    Bangladesh    373,151    +1,520    5,440    +35    286,631    +1,798    81,080    None    2,260    33    2,026,808    12,274    165,129,131   
18    Saudi Arabia    337,711    +468    4,947    +24    323,208    +596    9,556    913    9,661    142    6,828,117    195,324    34,957,825   
19    Italy    333,940    +3,678    36,061    +31    235,303    +1,204    62,576    337    5,525    597    12,069,402    199,700    60,437,566   
20    Philippines    329,506    +2,694    5,925    +60    273,621    +335    49,960    1,758    2,996    54    3,979,197    36,184    109,969,812   
21    Turkey    329,138    +1,581    8,609    +56    288,954    +1,355    31,575    1,411    3,891    102    11,160,946    131,954    84,581,980   
22    Pakistan    316,351    +624    6,535    +12    301,288    +672    8,528    499    1,425    29    3,730,221    16,801    222,023,626   
23    Indonesia    315,714    +4,538    11,472    +98    240,291    +3,854    63,951    None    1,151    42    3,595,719    13,109    274,298,026   
24    Germany    311,113    +3,994    9,652    +17    267,700    +2,100    33,761    470    3,710    115    16,999,253    202,718    83,856,524   
25    Israel    281,481    +4,455    1,824    +27    216,613    +5,216    63,044    866    30,604    198    3,832,435    416,678    9,197,590   
26    Ukraine    239,337    +4,753    4,597    +77    105,970    +2,569    128,770    177    5,482    105    2,455,407    56,237    43,661,584   
27    Canada    173,123    +1,800    9,541    +11    145,666    +1,672    17,916    143    4,576    252    7,825,602    206,857    37,831,018   
28    Netherlands    149,988    +4,989    6,518    +36    N/A    N/A    N/A    231    8,748    380    2,656,731    154,955    17,145,159   
29    Ecuador    143,531    +1,475    11,743    +41    120,511    None    11,277    354    8,103    663    455,122    25,692    17,714,234   
30    Romania    142,570    +2,958    5,203    +82    111,564    +1,666    25,803    612    7,425    271    2,568,071    133,737    19,202,403   
31    Morocco    140,024    +2,776    2,439    +29    118,142    +2,788    19,443    424    3,782    66    2,778,365    75,035    37,027,450   
32    Bolivia    137,468    +361    8,156    +27    98,542    +535    30,770    71    11,734    696    309,523    26,420    11,715,437   
33    Belgium    134,291    +2,088    10,092    +14    19,812    +93    104,387    189    11,574    870    3,448,895    297,235    11,603,264   
34    Qatar    127,181    +238    218    +2    124,108    +215    2,855    55    45,296    78    810,027    288,491    2,807,805   
35    Panama    117,300    +698    2,448    +8    93,610    +660    21,242    120    27,073    565    520,582    120,149    4,332,796   
36    Dominican Republic    116,148    +777    2,159    +10    92,157    +588    21,832    190    10,678    198    502,680    46,215    10,877,062   
37    Kuwait    108,743    +475    639    +7    100,776    +597    7,328    127    25,364    149    768,691    179,292    4,287,362   
38    Kazakhstan    108,362    +66    1,746    None    103,465    +98    3,151    221    5,753    93    3,045,439    161,676    18,836,704   
39    Poland    107,319    +3,003    2,791    +74    75,346    +1,188    29,182    283    2,836    74    3,533,697    93,397    37,835,307   
40    Egypt    104,035    +133    6,010    +9    97,492    +43    533    41    1,012    58    135,000    1,313    102,843,979   
41    Oman    103,465    +817    1,000    +10    91,329    +54    11,136    211    20,127    195    376,700    73,281    5,140,517   
42    UAE    101,840    +1,046    436    +1    91,710    +1,154    9,694    None    10,264    44    10,434,795    1,051,649    9,922,317   
43    Sweden    96,677    None    5,892    +5    N/A    N/A    N/A    23    9,557    582    1,661,484    164,239    10,116,245   
44    Guatemala    95,704    +834    3,335    +25    84,036    +556    8,333    5    5,316    185    347,374    19,295    18,003,118   
45    Czechia    95,360    +5,338    829    +35    50,767    +1,979    43,764    326    8,900    77    1,494,776    139,511    10,714,375   
46    Nepal    94,253    +3,439    578    +15    68,668    +1,126    25,007    None    3,220    20    1,113,486    38,035    29,275,375   
47    Japan    86,543    +496    1,605    +3    79,676    +605    5,262    141    685    13    2,218,653    17,557    126,370,560   
48    Costa Rica    83,497    +1,355    1,024    +20    50,295    +275    32,178    203    16,351    201    245,115    48,000    5,106,602   
49    Belarus    81,505    +415    874    +6    75,683    +307    4,948    None    8,626    93    1,976,828    209,222    9,448,476   
