World Total Today:
countryRank;countryName;totalCases;newCases;totalDeaths;newDeaths;totalRecovered;newRecovered;activeCases;seriousCritical;totCases1Mpop;deaths1Mpop;totalTests;tests1Mpop;population
None;World;34,961,630;+142,126;1,035,033;+2,292;25,986,779;+99,827;7,939,818;66,304;4,485;132.8;None;None;None

World Total Yesterday:
countryRank;countryName;totalCases;newCases;totalDeaths;newDeaths;totalRecovered;newRecovered;activeCases;seriousCritical;totCases1Mpop;deaths1Mpop;totalTests;tests1Mpop;population
None;World;34,819,504;+316,232;1,032,741;+5,603;25,886,952;+224,837;7,899,811;66,234;4,467;132.5;None;None;None

World Total Yesterday 2:
countryRank;countryName;totalCases;newCases;totalDeaths;newDeaths;totalRecovered;newRecovered;activeCases;seriousCritical;totCases1Mpop;deaths1Mpop;totalTests;tests1Mpop;population
None;World;34,503,272;+314,568;1,027,138;+5,585;25,662,115;+239,842;7,814,019;66,076;4,426;131.8;None;None;None

World Total Today:
countryRank;countryName;totalCases;newCases;totalDeaths;newDeaths;totalRecovered;newRecovered;activeCases;seriousCritical;totCases1Mpop;deaths1Mpop;totalTests;tests1Mpop;population
None;World;34,961,630;+142,126;1,035,033;+2,292;25,986,779;+99,827;7,939,818;66,304;4,485;132.8;None;None;None

World Total Yesterday:
countryRank;countryName;totalCases;newCases;totalDeaths;newDeaths;totalRecovered;newRecovered;activeCases;seriousCritical;totCases1Mpop;deaths1Mpop;totalTests;tests1Mpop;population
None;World;34,819,504;+316,232;1,032,741;+5,603;25,886,952;+224,837;7,899,811;66,234;4,467;132.5;None;None;None

World Total Yesterday 2:
countryRank;countryName;totalCases;newCases;totalDeaths;newDeaths;totalRecovered;newRecovered;activeCases;seriousCritical;totCases1Mpop;deaths1Mpop;totalTests;tests1Mpop;population
None;World;34,503,272;+314,568;1,027,138;+5,585;25,662,115;+239,842;7,814,019;66,076;4,426;131.8;None;None;None

